gene,NPC_prevalence,OPC_prevalence,AC_prevalence,MES_prevalence,SRI,worst_state,state_imbalance,wang_NPC,wang_OPC,wang_AC,wang_MES,wang_SRI,wang_worst_state,neftel_cat,wang_cat
HOMER1,0.316,0.19,0.381,0.143,0.143,MES,0.238,0.5,0.5,0.545,0.727,0.5,NPC,low,moderate
ANKHD1,0.316,0.286,0.143,0.238,0.143,AC,0.173,0.818,0.682,0.727,0.545,0.545,MES,low,moderate
MTCH1,0.737,0.714,0.714,0.714,0.714,OPC,0.023,0.864,0.864,0.955,0.864,0.864,NPC,high,high
CHMP7,0.368,0.476,0.333,0.381,0.333,AC,0.143,0.455,0.5,0.455,0.636,0.455,NPC,low,moderate
NRG1,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.091,0.136,0.045,0.091,0.045,AC,low,low
ANKS6,0.053,0.19,0.048,0.048,0.048,AC,0.143,0.091,0.227,0.091,0.0,0.0,MES,low,low
ZNF408,0.421,0.333,0.048,0.143,0.048,AC,0.373,0.136,0.091,0.136,0.136,0.091,OPC,low,low
SLC39A5,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.0,0.0,NPC,low,low
CAND1,0.737,0.524,0.381,0.429,0.381,AC,0.356,0.864,0.818,0.818,0.773,0.773,MES,low,high
COG6,0.211,0.429,0.286,0.143,0.143,MES,0.286,0.318,0.5,0.409,0.545,0.318,NPC,low,low
CYSLTR2,0.0,0.0,0.0,0.0,0.0,NPC,0.0,0.0,0.0,0.0,0.091,0.0,NPC,low,low
